"ID","Type","CST1","CD200R1","HGD","TOX"
"GSM475618",1,9.75825279573163,5.93619879174122,3.40762293072443,3.00094408782601
"GSM475619",1,7.23711919920181,5.92468755902529,5.08694121849697,3.84402727133133
"GSM475620",1,10.1320241047065,4.6350114241429,4.61400479545521,3.55196837968952
"GSM475621",0,0.950169250610327,3.51427948930992,4.97900232721241,4.42930743767983
"GSM475622",0,0.624803741825929,5.72954721736374,6.24696552140903,4.76538420485412
"GSM475623",0,1.61010510038575,4.80839458244999,6.2296807431876,4.74027660249661
"GSM475624",0,1.31220475538334,4.95937949240076,5.08280562311619,4.12769792376234
"GSM475625",1,10.7963905280181,6.71907692436193,3.81038860550077,2.67618596825085
"GSM475626",1,5.71173476970684,7.51332446318294,5.08245777022163,3.78406841950856
"GSM475627",1,4.68313677047665,5.28745149866226,4.99362295854614,3.69526878293799
"GSM475628",1,9.01243409363108,6.83581919804401,4.81742210421035,4.51910287308441
"GSM475629",1,9.31373505480239,6.3743474684064,3.46944596937694,3.01929787451706
"GSM475630",1,9.41891588231916,5.83646829108626,4.32115097343222,3.34644210956939
"GSM475631",0,0.670625864313684,4.90283199053301,5.39128722974473,4.08601482731553
"GSM475632",1,5.50322659872016,5.83634022385947,5.53610682871664,3.946810940948
"GSM475633",0,0.104727977062432,5.13038734281859,4.91521064437568,4.88577420330152
"GSM475634",1,7.90931461614735,6.21106810468328,4.57466276826273,2.67210780530965
"GSM475635",1,4.69374928428759,5.80999965300611,4.09045138307498,2.50363203566688
"GSM475636",1,3.17281629100467,6.73891041000588,3.95772115454999,2.64908035353594
"GSM475637",1,9.94200904883666,6.21229585660958,3.07446024476227,3.20133671879559
"GSM475638",0,5.55826000176519,4.78981530890317,6.31372662731777,4.19689937951176
"GSM475639",1,10.0291491518926,6.63679426034931,2.91559045338579,2.39727535320143
"GSM475640",1,5.62992892346345,6.46083941639394,5.22256475741393,3.32837786012643
"GSM475641",1,7.99501629260296,5.12907044176235,4.51180295148185,3.49146330866113
"GSM475642",0,1.0404069120171,3.97182452959702,4.45830211178465,5.64936606474405
"GSM475643",1,8.85240638925387,6.23633439260113,3.82484178631407,3.33479696252028
"GSM475644",1,9.23758628782998,6.722214042215,3.54789242877415,4.41503168676878
"GSM475645",0,1.91248433248954,4.81209794795873,5.76263893865145,4.32828563301963
"GSM475646",1,9.9536701866196,6.9744577922876,4.69429338741979,3.49319231832703
"GSM475647",1,6.97013184967993,5.47523298056979,4.81268151850237,3.92416543192709
"GSM475648",0,1.49437983726357,4.51790847668673,5.03223697561506,3.38133660876471
"GSM475649",0,0.895708882271497,5.16888900818335,5.55389065664301,4.09502949766389
"GSM475650",1,10.1147080837238,5.02551168359237,4.61767671799317,3.66131489359625
"GSM475651",1,9.20883971653455,7.10197464752982,3.47136935737302,3.85751026119634
"GSM475652",1,9.44435736654051,6.10877837630608,4.18797743997338,4.10199058519084
"GSM475653",1,10.7045727934221,5.01547375318801,3.51523083208141,3.50808192531929
"GSM475654",1,10.4419556254799,6.47114406532022,3.58978525929833,3.41879151284593
"GSM475655",1,9.95242940642236,6.48611734678695,4.03813831523088,3.12028477043103
